Entities,Label,Confidence,Count
10-Jun-18,neu,54.678826,1
10-Jun-18,neu,69.608023,1
10-Jun-18,neg,50.718836,1
10-Jun-18,pos,67.055182,1
10-Jun-18,neg,60.679379,1
10-Jun-18,neg,48.192123,1
10-Jun-18,neg,60.968184,1
10-Jun-18,neg,79.945366,1
10-Jun-18,neu,70.781083,1
10-Jun-18,neg,64.672634,1
10-Jun-18,neg,62.45389,1
10-Jun-18,neu,60.743615,1
10-Jun-18,pos,39.383684,1
10-Jun-18,pos,41.331159,1
10-Jun-18,neg,48.732487,1
10-Jun-18,neg,44.770227,1
10-Jun-18,neg,58.793522,1
10-Jun-18,pos,36.11329,1
10-Jun-18,neu,69.561257,1
10-Jun-18,pos,44.14512,1
10-Jun-18,neu,59.383173,1
10-Jun-18,neg,69.151898,1
10-Jun-18,neg,58.493654,1
10-Jun-18,neg,50.197822,1
10-Jun-18,neg,50.338078,1
10-Jun-18,neu,77.693153,1
10-Jun-18,neg,52.089426,1
11-Jun-18,neu,58.754176,1
11-Jun-18,neg,48.512621,1
12-Jun,neu,63.197731,1
12-Jun,neg,49.564351,1
12-Jun,neg,65.144078,1
12-Jun,neu,45.33846,1
12-Jun,neu,78.176509,1
12-Jun,neg,57.714935,1
12-Jun,pos,71.001225,1
20-Jun,neg,76.429162,3
20-Jun,neu,55.907612,2
20-Jun,neg,58.360067,3
24-Jun,pos,44.858464,1
24-Jun,neg,48.09158,1
24-Jun,pos,42.147032,1
1-Jul,neu,63.779743,1
1-Jul,neg,44.430236,1
8-Jul,neu,68.702026,1
27-Jul,neu,48.203488,3
Jan-19,pos,53.633856,1
$3 trillion,neu,77.286238,1
@AJEnglish,neu,56.610166,1
@ajplus,neu,73.015748,2
@Refugees,neu,72.332868,3
@rolandgarros,neu,63.22785,6
05:48 GMT,pos,50.259492,1
05:53 GMT,neu,60.304,1
06:17 GMT,neu,82.071846,1
06:40 GMT,neu,72.557693,1
06:45 GMT,neu,66.50694,1
06:51 GMT,neu,68.826577,1
06:56 GMT,neg,61.864564,1
07:04 GMT,neg,69.167603,1
07:33 GMT,pos,68.299434,1
08:16 GMT,neg,71.949866,1
08:18 GMT,neu,71.172755,1
08:27 GMT,neg,44.354047,1
08:27 GMT,neg,44.354047,1
08:27 GMT,neg,44.354047,1
08:27 GMT,neg,44.354047,1
08:27 GMT,neg,44.354047,1
08:32 GMT,pos,49.279968,1
08:32 GMT,neg,47.382991,1
08:33 GMT,pos,54.981771,1
08:38 GMT,neu,63.732828,1
08:43 GMT,neu,79.845791,1
08:50 GMT,neu,84.322243,1
09:12 GMT,neu,57.790349,1
09:21 GMT,pos,71.568097,1
09:26 GMT,neg,56.034713,1
09:26 GMT,neg,46.655021,1
09:34 GMT,neu,38.756069,1
09:36 GMT,pos,60.019533,1
09:43 GMT,pos,63.334009,1
09:52 GMT,neu,62.703485,1
09:53 GMT,pos,51.057192,1
09:55 GMT,neu,54.847261,1
"1,100-km",neu,36.41339,1
10 days,pos,47.393404,1
10 hours,neg,64.64155,1
10 mins,neu,55.409878,1
10 years,neu,51.006982,1
10 years,neu,59.065118,1
10:00 GMT,pos,62.796112,1
10:10 GMT,neu,56.506588,1
10:27 GMT,neu,55.8925,1
10:28 GMT,pos,52.331568,1
10:35 GMT,neu,69.549072,1
10:38 GMT,pos,51.964455,1
10:42 GMT,neu,58.936596,1
10:55 GMT,neg,49.748251,1
10:58 GMT,neg,49.535334,1
10:58 GMT,neu,86.439066,1
101 East,neg,69.952427,1
11 years,neg,54.684764,1
11 years,pos,45.617604,1
11 years,neu,45.147502,1
11:02 GMT,neg,58.60179,1
11:04 GMT,neg,48.209748,1
11:07 GMT,neg,47.456507,1
11:09 GMT,neg,68.818433,1
11:14 GMT,neu,70.634501,1
11:19 GMT,pos,39.199817,1
11:22 GMT,neu,84.465272,1
11:25 GMT,neu,44.041961,1
11:32 GMT,neg,43.923268,1
11:35 GMT,pos,47.707114,1
11:38 GMT,neu,46.502759,1
11:38 GMT,neu,74.465447,1
11:45 GMT,neg,69.092638,1
11:50 GMT,pos,50.729989,1
11:50 GMT,pos,50.729989,1
11:50 GMT,pos,50.729989,1
11:50 GMT,pos,50.729989,1
11:50 GMT,pos,50.729989,1
11:51 GMT,neg,43.958015,1
11:52 GMT,neg,71.229252,1
11:56 GMT,pos,49.705707,1
11:58 GMT,neu,79.7894,1
11am,neu,69.652425,1
12 months,neu,50.578037,1
12 years,neu,38.694488,1
12:03 GMT,neu,70.864933,1
12:03 GMT,neu,72.706407,1
12:04 GMT,neg,67.374864,1
12:14:56 GMT,pos,65.112437,1
12:26 GMT,neu,68.711223,1
12:27 GMT,pos,43.272167,1
12:28 GMT,neu,74.84484,1
12:30 GMT,pos,63.403257,2
12:30 GMT,pos,65.523573,1
12:35 GMT,pos,55.761064,1
12:47 GMT,neu,81.719762,1
12:54 GMT,pos,58.419536,1
12-year,pos,57.409616,1
"13,000km",neu,62.944387,1
13:24 GMT,neg,76.097839,1
13:26 GMT,neu,66.34887,1
13:31 GMT,pos,77.27029,1
13:38 GMT,neu,77.718392,1
13:38 GMT,neu,77.718392,1
13:38 GMT,neu,77.718392,1
13:38 GMT,neu,77.718392,1
13:38 GMT,neu,77.718392,1
13:44 GMT,neu,77.738727,1
13:56 GMT,neu,67.890609,1
13:58 GMT,pos,40.61783,1
14 years,neu,38.955377,1
14:31 GMT,neg,55.120027,1
14:31 GMT,pos,41.583526,1
14:36 GMT,neu,75.129479,1
14:45 GMT,neg,55.973867,1
14:47 GMT,neg,49.52881,1
15 months,neg,45.916008,1
15:14 GMT,neg,56.001684,1
15:25 GMT,neu,72.888188,1
15:44 GMT,neu,75.545882,1
150km,neg,39.098078,1
16 years,neg,48.043011,1
16 years,neg,48.043011,1
16 years,neg,54.602891,1
16:33 GMT,neu,56.461147,1
16:35 GMT,pos,54.077169,1
16:48 GMT,neu,73.578807,1
16:51 GMT,neg,43.009419,1
16:52 GMT,neu,81.628781,1
16-year,neu,84.916215,1
16-year,neg,36.436546,1
17 years,neu,62.927327,1
17 years,neu,69.116645,1
17:04 GMT,pos,55.464963,1
17:10 GMT,neu,83.687255,1
17:19 GMT,neg,89.586644,1
17:22 GMT,pos,45.238325,1
17:40 GMT,neu,42.540251,1
17:46 GMT,neg,61.064043,1
17:49 GMT,neg,49.009974,1
17:56 GMT,neu,33.921798,1
18 years,neg,62.296579,2
18 years,neg,51.237593,1
18 years,neu,50.783575,1
18:01 GMT,neg,39.041081,1
18:11 GMT,neg,66.018412,1
18:20 GMT,neg,75.568364,1
18:22 GMT,neg,47.92909,1
18:35 GMT,neg,51.288536,1
18:46 GMT,neg,40.544869,1
18:47 GMT,pos,75.148702,1
18-year,neg,57.718697,1
18-year,neg,55.146357,1
19:04 GMT,pos,42.635195,1
19:05 GMT,neu,74.790926,1
19:11 GMT,neg,53.765381,1
19:22:22 GMT,neu,64.277619,1
19:35 GMT,pos,63.560032,1
19:42 GMT,neg,52.395515,1
19:51 GMT,neu,57.398688,1
19:55 GMT,neg,48.633064,1
19:57 GMT,neg,83.724905,1
2:45pm,neg,65.352775,1
20 minutes,neu,38.322079,1
20 years,neu,78.235321,1
20 years,neg,65.743236,1
20:07 GMT,neu,87.670047,1
20:17 GMT,neu,62.50875,1
20:27 GMT,neg,51.625376,1
20:33 GMT,neg,51.271702,1
20:41 GMT,neu,74.882995,1
20:43 GMT,neg,50.188388,1
20:44 GMT,pos,56.609593,1
20:47 GMT,pos,44.263743,1
20:48 GMT,neu,86.019263,1
